,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-50-5944-01A,0.01,0.0,0.002,0.0,0.008,0.0,0.527,0.008,0.064,0.2,0.022,0.148,0.011,0.0,0.0,0.0,LUAD,0.7087,0.57,0.8325,0.8,0.7034,
TCGA-55-1592-01A,0.022,0.003,0.009,0.002,0.008,0.0,0.649,0.0,0.035,0.057,0.013,0.198,0.004,0.0,0.0,0.0,LUAD,0.7697,0.48,,0.8,0.6978,
TCGA-50-8457-01A,0.062,0.036,0.026,0.006,0.021,0.002,0.431,0.049,0.096,0.135,0.025,0.101,0.008,0.001,0.001,0.0,LUAD,0.5791,,0.6409,0.65,0.5992,
TCGA-78-7159-01A,0.059,0.003,0.016,0.006,0.003,0.001,0.717,0.001,0.039,0.087,0.033,0.022,0.002,0.001,0.01,0.0,LUAD,0.8215,0.39,0.5996,0.7,0.5643,
TCGA-67-6215-01A,0.0,0.0,0.005,0.001,0.0,0.0,0.793,0.022,0.028,0.014,0.009,0.125,0.001,0.0,0.001,0.0,LUAD,0.8334,0.69,0.7617,0.8,0.7878,
TCGA-MP-A4T9-01A,0.006,0.008,0.013,0.007,0.012,0.0,0.564,0.025,0.088,0.115,0.011,0.142,0.007,0.002,0.0,0.0,LUAD,0.6922,,0.6135,0.75,0.5925,
TCGA-97-7938-01A,0.01,0.007,0.007,0.004,0.008,0.001,0.66,0.021,0.099,0.092,0.018,0.066,0.004,0.0,0.001,0.0,LUAD,0.7983,0.61,0.7533,0.7,0.7431,
TCGA-05-5425-01A,0.025,0.001,0.017,0.012,0.017,0.001,0.653,0.016,0.034,0.047,0.022,0.15,0.001,0.0,0.003,0.0,LUAD,0.632,0.38,0.5644,0.6,0.523,
TCGA-55-7913-01B,0.007,0.001,0.006,0.005,0.001,0.0,0.912,0.002,0.006,0.019,0.005,0.029,0.001,0.0,0.005,0.0,LUAD,0.9445,0.35,0.3824,0.75,0.5537,
TCGA-05-4417-01A,0.037,0.006,0.037,0.003,0.008,0.001,0.411,0.048,0.082,0.198,0.053,0.11,0.003,0.001,0.002,0.001,LUAD,0.5176,0.4,0.5799,0.65,0.5416,
TCGA-75-6203-01A,0.011,0.0,0.014,0.0,0.011,0.0,0.372,0.032,0.132,0.058,0.012,0.343,0.003,0.01,0.0,0.0,LUAD,0.51,0.26,0.6217,0.755,0.4095,
TCGA-05-4434-01A,0.013,0.01,0.03,0.012,0.011,0.001,0.548,0.04,0.05,0.1,0.016,0.158,0.005,0.001,0.006,0.0,LUAD,0.5637,0.29,,0.725,0.4379,
TCGA-55-8096-01A,0.028,0.007,0.01,0.004,0.011,0.0,0.454,0.004,0.051,0.179,0.009,0.234,0.004,0.005,0.0,0.0,LUAD,0.6047,0.26,0.5585,0.65,0.4737,
TCGA-49-6767-01A,0.0,0.0,0.011,0.035,0.007,0.0,0.755,0.016,0.017,0.063,0.002,0.093,0.001,0.0,0.0,0.0,LUAD,0.7716,0.43,0.5409,0.825,0.614,
TCGA-MP-A4T6-01A,0.019,0.008,0.026,0.005,0.027,0.001,0.704,0.03,0.05,0.022,0.011,0.079,0.003,0.0,0.013,0.0,LUAD,0.8484,,0.7325,1.0,0.8047,
TCGA-MP-A4TE-01A,0.033,0.0,0.007,0.0,0.0,0.0,0.896,0.0,0.01,0.013,0.022,0.012,0.0,0.0,0.006,0.0,LUAD,,,0.6872,0.88,0.7516,
TCGA-75-5146-01A,0.042,0.013,0.019,0.002,0.005,0.0,0.668,0.024,0.055,0.075,0.021,0.075,0.001,0.0,0.0,0.0,LUAD,0.7481,0.58,0.6403,0.7,0.6906,
TCGA-78-7167-01A,0.007,0.0,0.004,0.002,0.005,0.0,0.844,0.005,0.033,0.056,0.022,0.018,0.001,0.001,0.002,0.0,LUAD,0.9055,0.84,0.7781,0.75,0.8281,
TCGA-J2-8194-01A,0.004,0.0,0.013,0.0,0.001,0.0,0.697,0.022,0.091,0.069,0.037,0.044,0.001,0.0,0.019,0.0,LUAD,0.755,0.44,0.6721,0.725,0.6495,
TCGA-97-A4M0-01A,0.006,0.006,0.019,0.012,0.022,0.001,0.648,0.07,0.025,0.035,0.014,0.138,0.002,0.001,0.001,0.0,LUAD,0.7104,,0.7281,0.65,0.7152,
TCGA-38-4632-01A,0.018,0.001,0.018,0.008,0.005,0.0,0.668,0.051,0.033,0.043,0.016,0.134,0.006,0.0,0.0,0.0,LUAD,0.6684,0.35,0.6173,0.7,0.5602,
TCGA-44-7661-01A,0.004,0.004,0.034,0.011,0.004,0.001,0.475,0.058,0.111,0.137,0.015,0.141,0.003,0.0,0.001,0.001,LUAD,0.5604,0.3,0.5687,0.7,0.4876,
TCGA-55-8205-01A,0.011,0.012,0.022,0.048,0.017,0.0,0.454,0.01,0.07,0.068,0.013,0.268,0.004,0.0,0.001,0.001,LUAD,0.5191,0.23,0.4664,0.75,0.381,
TCGA-55-A48Z-01A,0.032,0.001,0.015,0.015,0.01,0.001,0.554,0.016,0.037,0.166,0.009,0.14,0.003,0.001,0.0,0.0,LUAD,0.694,,0.6852,0.6,0.6648,
TCGA-44-5645-01B,0.011,0.032,0.049,0.019,0.003,0.029,0.444,0.058,0.151,0.103,0.018,0.055,0.009,0.0,0.018,0.0,LUAD,,,0.6151,0.7,0.6645,
TCGA-05-5428-01A,0.006,0.0,0.004,0.004,0.0,0.0,0.782,0.0,0.009,0.054,0.012,0.12,0.007,0.0,0.001,0.0,LUAD,0.738,0.63,0.6977,0.8,0.7199,
TCGA-69-8255-01A,0.051,0.006,0.009,0.03,0.013,0.0,0.764,0.005,0.007,0.016,0.011,0.087,0.001,0.0,0.0,0.0,LUAD,0.791,0.37,0.4646,0.6,0.6203,
TCGA-75-5125-01A,0.013,0.002,0.028,0.025,0.013,0.0,0.588,0.032,0.037,0.068,0.012,0.173,0.007,0.0,0.0,0.0,LUAD,0.6511,0.31,0.569,0.8,0.5325,
TCGA-55-8097-01A,0.011,0.008,0.015,0.003,0.011,0.001,0.628,0.041,0.102,0.065,0.03,0.078,0.007,0.0,0.0,0.0,LUAD,0.7697,0.63,0.7478,0.65,0.7493,
TCGA-78-7152-01A,0.02,0.028,0.018,0.011,0.003,0.0,0.713,0.017,0.052,0.054,0.015,0.067,0.001,0.0,0.0,0.0,LUAD,0.7607,0.55,0.6189,0.65,0.6844,
TCGA-MP-A4TF-01A,0.043,0.001,0.012,0.015,0.007,0.0,0.813,0.002,0.035,0.039,0.002,0.025,0.001,0.001,0.004,0.0,LUAD,0.9013,,0.6346,0.88,0.7019,
TCGA-67-4679-01B,0.006,0.001,0.004,0.003,0.008,0.005,0.583,0.069,0.087,0.085,0.025,0.096,0.025,0.0,0.003,0.0,LUAD,0.676,0.7,0.8187,0.75,0.8218,
TCGA-91-6836-01A,0.015,0.001,0.012,0.014,0.001,0.0,0.856,0.005,0.037,0.018,0.009,0.025,0.007,0.0,0.0,0.001,LUAD,0.9023,0.67,0.7565,0.85,0.7982,
TCGA-78-8648-01A,0.066,0.001,0.013,0.01,0.026,0.0,0.148,0.011,0.103,0.3,0.029,0.286,0.003,0.002,0.0,0.0,LUAD,0.3129,,0.4699,0.8,0.4118,
TCGA-44-A47A-01A,0.008,0.001,0.04,0.001,0.0,0.001,0.639,0.092,0.022,0.056,0.013,0.123,0.003,0.0,0.001,0.0,LUAD,0.7138,,0.6954,0.78,0.6494,
TCGA-55-A57B-01A,0.006,0.0,0.017,0.0,0.013,0.0,0.536,0.078,0.105,0.124,0.038,0.077,0.005,0.0,0.0,0.0,LUAD,0.7136,,0.6643,0.85,0.6309,
TCGA-55-8207-01A,0.006,0.0,0.01,0.001,0.009,0.005,0.464,0.025,0.054,0.203,0.037,0.168,0.009,0.0,0.006,0.0,LUAD,0.6053,0.57,0.7711,0.8,0.7034,
TCGA-55-7576-01A,0.005,0.008,0.013,0.004,0.015,0.0,0.669,0.026,0.052,0.078,0.011,0.115,0.002,0.0,0.0,0.0,LUAD,0.7337,0.48,0.7206,0.6,0.6489,
TCGA-NJ-A55O-01A,0.006,0.003,0.011,0.0,0.004,0.0,0.701,0.016,0.059,0.041,0.02,0.137,0.001,0.001,0.0,0.0,LUAD,0.7708,,0.7035,1.0,0.6928,
TCGA-55-A494-01A,0.0,0.0,0.003,0.004,0.006,0.0,0.857,0.002,0.083,0.019,0.017,0.006,0.001,0.0,0.001,0.0,LUAD,0.966,,0.8536,0.9,0.9135,
TCGA-95-7043-01A,0.012,0.0,0.001,0.001,0.002,0.0,0.865,0.0,0.016,0.05,0.014,0.038,0.0,0.0,0.0,0.0,LUAD,0.9146,0.77,0.7675,0.7,0.8273,
TCGA-L9-A443-01A,0.013,0.001,0.006,0.009,0.002,0.001,0.63,0.028,0.06,0.146,0.037,0.058,0.003,0.0,0.005,0.0,LUAD,0.7633,,0.7867,0.65,0.7366,
TCGA-69-7974-01A,0.008,0.006,0.012,0.015,0.005,0.0,0.571,0.022,0.084,0.063,0.011,0.196,0.004,0.0,0.0,0.0,LUAD,0.621,0.29,0.6516,0.8,0.5606,
