,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CV-6952-01A,0.005,0.0,0.019,0.01,0.007,0.0,0.018,0.032,0.025,0.025,0.02,0.0,0.0,0.016,0.007,0.815,0.815,HNSC,0.8374,0.52,0.6229,0.55,0.7229,
TCGA-D6-A6ES-01A,0.001,0.0,0.003,0.002,0.004,0.0,0.001,0.008,0.001,0.002,0.04,0.0,0.0,0.0,0.006,0.931,0.931,HNSC,0.8752,,0.63,0.8,0.841,
TCGA-CN-5366-01A,0.0,0.0,0.009,0.011,0.011,0.0,0.001,0.042,0.136,0.029,0.041,0.0,0.0,0.009,0.0,0.711,0.711,HNSC,0.7801,0.26,0.632,0.8,0.6571,
TCGA-CQ-6223-01A,0.003,0.0,0.011,0.005,0.008,0.0,0.01,0.016,0.007,0.009,0.036,0.0,0.0,0.024,0.001,0.871,0.871,HNSC,0.8655,0.51,0.6862,0.75,0.7286,
TCGA-F7-7848-01A,0.018,0.002,0.042,0.001,0.021,0.0,0.036,0.054,0.078,0.013,0.029,0.0,0.0,0.025,0.004,0.674,0.674,HNSC,0.7935,0.57,0.3663,0.725,0.6357,
TCGA-CV-A6JM-01A,0.011,0.0,0.008,0.001,0.007,0.0,0.0,0.012,0.031,0.014,0.042,0.0,0.0,0.0,0.004,0.87,0.87,HNSC,0.8738,,0.6426,0.65,0.8391,
TCGA-CN-5359-01A,0.003,0.0,0.051,0.009,0.033,0.0,0.032,0.045,0.208,0.012,0.102,0.0,0.001,0.039,0.018,0.449,0.449,HNSC,0.5299,0.19,0.5122,0.8,0.4169,
TCGA-P3-A5QA-01A,0.0,0.0,0.007,0.004,0.001,0.0,0.007,0.02,0.297,0.041,0.0,0.0,0.0,0.004,0.001,0.617,0.617,HNSC,0.8654,,0.654,0.6,0.6573,
TCGA-CN-4734-01A,0.0,0.0,0.025,0.05,0.001,0.0,0.023,0.03,0.054,0.014,0.045,0.0,0.0,0.017,0.011,0.729,0.729,HNSC,0.7051,0.51,0.5705,0.85,0.6282,
TCGA-CV-6441-01A,0.0,0.0,0.003,0.002,0.002,0.0,0.009,0.008,0.0,0.021,0.004,0.0,0.0,0.003,0.0,0.949,0.949,HNSC,0.9704,0.7,0.8564,0.8,0.8463,
TCGA-CV-A6JY-01A,0.005,0.0,0.01,0.003,0.007,0.005,0.006,0.036,0.002,0.012,0.005,0.001,0.0,0.012,0.003,0.893,0.893,HNSC,0.9397,,0.5541,0.92,0.7466,
TCGA-D6-6825-01A,0.001,0.0,0.062,0.021,0.029,0.0,0.043,0.047,0.08,0.018,0.101,0.0,0.0,0.028,0.001,0.568,0.568,HNSC,0.642,0.42,0.5255,0.65,0.5428,
TCGA-CR-5247-01A,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.019,0.267,0.007,0.01,0.0,0.0,0.002,0.0,0.688,0.688,HNSC,0.8715,0.68,0.6286,0.75,0.8218,
TCGA-CV-7410-01A,0.009,0.159,0.093,0.006,0.025,0.002,0.066,0.071,0.113,0.029,0.06,0.0,0.0,0.027,0.001,0.338,0.338,HNSC,0.5422,0.24,0.355,0.67,0.3888,
TCGA-CV-7091-01A,0.0,0.0,0.023,0.002,0.007,0.0,0.021,0.032,0.113,0.013,0.015,0.0,0.0,0.009,0.0,0.763,0.763,HNSC,0.8205,0.45,0.5088,0.8,0.6458,
TCGA-BA-5153-01A,0.022,0.002,0.052,0.07,0.018,0.0,0.044,0.055,0.038,0.024,0.036,0.0,0.001,0.021,0.001,0.619,0.619,HNSC,0.7827,0.78,0.7504,0.8,0.8111,
TCGA-CV-7428-01A,0.0,0.0,0.017,0.022,0.009,0.0,0.023,0.038,0.062,0.023,0.037,0.0,0.0,0.014,0.001,0.753,0.753,HNSC,0.7823,0.62,0.4317,0.8,0.7328,
