,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-ZF-A9R0-01A,0.0,0.0,0.002,0.003,0.0,0.0,0.868,0.009,0.011,0.021,0.054,0.031,0.0,0.0,0.0,0.0,BLCA,0.8852,,0.636,0.7,0.7913,
TCGA-DK-AA6R-01A,0.0,0.0,0.004,0.018,0.0,0.0,0.896,0.006,0.031,0.012,0.019,0.008,0.0,0.0,0.004,0.003,BLCA,0.9203,,,0.8,0.8021,
TCGA-CF-A9FH-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.952,0.0,0.032,0.0,0.013,0.0,0.0,0.0,0.0,0.0,BLCA,0.9761,,0.7742,0.7,0.7694,
TCGA-KQ-A41N-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.948,0.001,0.021,0.001,0.017,0.009,0.0,0.0,0.0,0.0,BLCA,0.9738,,0.5857,0.85,0.5479,
TCGA-5N-A9KI-01A,0.004,0.0,0.004,0.004,0.0,0.0,0.781,0.009,0.016,0.085,0.006,0.08,0.001,0.0,0.011,0.001,BLCA,0.8202,,,0.8,0.7118,
TCGA-GD-A2C5-01A,0.003,0.0,0.005,0.001,0.0,0.0,0.789,0.0,0.053,0.072,0.036,0.038,0.001,0.0,0.0,0.0,BLCA,0.8898,,0.6545,0.85,0.6288,
TCGA-ZF-AA52-01A,0.006,0.0,0.003,0.005,0.0,0.0,0.583,0.032,0.037,0.213,0.022,0.093,0.0,0.0,0.005,0.0,BLCA,0.7234,,0.5745,0.8,0.6349,
TCGA-E7-A541-01A,0.005,0.0,0.0,0.055,0.003,0.0,0.763,0.032,0.038,0.011,0.023,0.064,0.001,0.0,0.004,0.0,BLCA,0.8545,,0.6951,0.8,0.7913,
TCGA-ZF-AA5P-01A,0.024,0.011,0.01,0.002,0.0,0.0,0.352,0.007,0.137,0.185,0.207,0.054,0.007,0.0,0.002,0.002,BLCA,0.7422,,0.458,0.9,0.6604,
TCGA-ZF-AA4W-01A,0.0,0.0,0.0,0.004,0.003,0.0,0.931,0.0,0.048,0.005,0.004,0.002,0.0,0.0,0.003,0.0,BLCA,0.9521,,0.4265,0.6,0.7019,
TCGA-ZF-A9RE-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.963,0.002,0.018,0.0,0.004,0.003,0.0,0.0,0.007,0.0,BLCA,0.9814,,0.6441,0.85,0.6165,
TCGA-DK-A1AD-01A,0.009,0.0,0.005,0.011,0.0,0.0,0.868,0.004,0.016,0.023,0.021,0.043,0.0,0.0,0.001,0.0,BLCA,0.8766,0.73,0.5764,0.8,0.849,
TCGA-GU-A42Q-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.946,0.003,0.017,0.011,0.013,0.009,0.0,0.0,0.001,0.0,BLCA,0.9703,,0.6183,0.7,0.7466,
TCGA-CF-A5UA-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.002,0.039,0.0,0.01,0.013,0.0,0.0,0.001,0.0,BLCA,0.9725,,0.9171,0.95,0.9374,
TCGA-BT-A20W-01A,0.001,0.001,0.022,0.016,0.0,0.001,0.755,0.019,0.076,0.034,0.043,0.018,0.012,0.0,0.001,0.0,BLCA,0.8844,,0.7368,0.7,0.7254,
TCGA-DK-A1A7-01A,0.001,0.016,0.001,0.001,0.0,0.0,0.927,0.003,0.028,0.0,0.015,0.009,0.0,0.0,0.0,0.0,BLCA,0.9456,0.74,0.8214,0.85,0.8447,
TCGA-CF-A9FM-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.907,0.009,0.038,0.001,0.002,0.031,0.002,0.0,0.001,0.0,BLCA,0.9495,,0.7545,0.8,0.7463,
TCGA-XF-A9T3-01A,0.005,0.0,0.009,0.018,0.0,0.0,0.566,0.019,0.097,0.165,0.07,0.045,0.003,0.0,0.001,0.0,BLCA,0.7488,,,0.65,0.708,
TCGA-E7-A519-01A,0.004,0.0,0.014,0.0,0.0,0.004,0.879,0.022,0.021,0.003,0.012,0.038,0.0,0.0,0.001,0.0,BLCA,0.8438,,0.6886,0.85,0.7913,
TCGA-C4-A0F1-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.909,0.0,0.041,0.017,0.014,0.017,0.0,0.0,0.001,0.0,BLCA,0.8771,,0.3545,0.8,0.7019,
TCGA-E5-A4U1-01A,0.0,0.0,0.002,0.001,0.006,0.001,0.942,0.002,0.022,0.0,0.012,0.005,0.004,0.0,0.003,0.0,BLCA,0.9961,,0.7589,0.9,0.7514,
TCGA-FD-A3NA-01A,0.004,0.0,0.012,0.02,0.0,0.0,0.771,0.001,0.031,0.054,0.011,0.088,0.001,0.0,0.007,0.001,BLCA,0.8508,0.43,0.5825,0.75,0.6586,
TCGA-KQ-A41O-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.0,0.006,0.0,0.004,0.002,0.0,0.0,0.0,0.0,BLCA,0.9992,,0.9838,0.8,1.0,
TCGA-CF-A47V-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.865,0.018,0.084,0.0,0.02,0.0,0.008,0.0,0.001,0.0,BLCA,0.8953,,0.7416,0.99,0.8683,
TCGA-FT-A61P-01A,0.0,0.0,0.014,0.02,0.0,0.0,0.585,0.017,0.05,0.161,0.034,0.115,0.003,0.0,0.0,0.001,BLCA,0.7028,,0.7277,0.75,0.7148,
TCGA-BT-A20J-01A,0.014,0.001,0.025,0.018,0.003,0.0,0.702,0.059,0.019,0.014,0.011,0.131,0.0,0.0,0.003,0.0,BLCA,0.7465,0.4,0.3825,0.75,0.6043,
TCGA-FD-A5BR-01A,0.039,0.018,0.032,0.0,0.0,0.0,0.684,0.021,0.043,0.067,0.047,0.044,0.003,0.0,0.002,0.0,BLCA,0.8105,,0.567,0.65,0.7532,
TCGA-ZF-AA56-01A,0.013,0.002,0.012,0.001,0.0,0.0,0.749,0.005,0.058,0.058,0.008,0.059,0.004,0.0,0.029,0.002,BLCA,0.8098,,0.5193,0.65,0.6573,
TCGA-XF-AAML-01A,0.008,0.0,0.004,0.031,0.0,0.0,0.865,0.016,0.009,0.0,0.001,0.063,0.0,0.0,0.002,0.0,BLCA,0.9698,,,0.9,0.8357,
TCGA-DK-A6B5-01A,0.003,0.0,0.012,0.008,0.006,0.0,0.836,0.032,0.022,0.022,0.006,0.045,0.0,0.0,0.005,0.001,BLCA,0.8792,,0.5928,0.8,0.7913,
TCGA-DK-AA6Q-01A,0.0,0.0,0.005,0.021,0.003,0.0,0.878,0.02,0.018,0.001,0.002,0.047,0.003,0.0,0.001,0.001,BLCA,0.9045,,0.6666,0.7,0.7466,
TCGA-ZF-AA4U-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.946,0.001,0.042,0.0,0.009,0.0,0.0,0.0,0.0,0.0,BLCA,0.9877,,0.7396,0.98,0.7913,
TCGA-K4-A6MB-01A,0.0,0.0,0.004,0.004,0.001,0.0,0.786,0.006,0.023,0.108,0.021,0.033,0.006,0.0,0.008,0.001,BLCA,0.9048,,0.8082,0.7,0.8094,
TCGA-4Z-AA82-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.799,0.029,0.028,0.087,0.019,0.024,0.005,0.0,0.002,0.0,BLCA,0.8584,,0.7504,0.65,0.7466,
TCGA-FD-A3B5-01A,0.0,0.0,0.002,0.0,0.001,0.0,0.881,0.0,0.026,0.037,0.022,0.014,0.0,0.0,0.017,0.0,BLCA,0.9318,0.52,0.6884,0.85,0.6852,
