,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-63-A5MN-01A,0.071,0.007,0.044,0.028,0.027,0.001,0.043,0.042,0.124,0.007,0.175,0.005,0.0,0.015,0.0,0.412,0.412,LUSC,0.4721,,0.3931,0.6,0.3216,
TCGA-85-A4QR-01A,0.004,0.0,0.008,0.0,0.003,0.0,0.002,0.022,0.048,0.0,0.001,0.0,0.0,0.011,0.002,0.899,0.899,LUSC,0.9942,,0.7808,0.9,0.7913,
TCGA-39-5027-01A,0.002,0.0,0.003,0.002,0.002,0.0,0.006,0.014,0.008,0.003,0.018,0.0,0.0,0.0,0.0,0.939,0.939,LUSC,0.9827,0.68,0.6863,0.6,0.7369,
TCGA-66-2788-01A,0.056,0.001,0.026,0.002,0.013,0.0,0.008,0.058,0.16,0.016,0.074,0.005,0.0,0.026,0.006,0.549,0.549,LUSC,0.6388,0.41,,0.725,0.5517,
TCGA-21-1072-01A,0.004,0.001,0.004,0.002,0.003,0.0,0.007,0.044,0.044,0.001,0.023,0.002,0.0,0.009,0.003,0.854,0.854,LUSC,0.9017,0.74,,0.925,0.8646,
TCGA-51-4081-01A,0.004,0.008,0.004,0.0,0.002,0.001,0.004,0.028,0.158,0.005,0.015,0.011,0.0,0.011,0.002,0.747,0.747,LUSC,0.8999,0.64,,0.85,0.827,
TCGA-22-1005-01A,0.183,0.045,0.034,0.021,0.018,0.0,0.035,0.06,0.126,0.018,0.092,0.002,0.001,0.003,0.001,0.361,0.361,LUSC,0.4767,0.23,,0.675,0.3405,
TCGA-L3-A524-01A,0.004,0.002,0.004,0.003,0.014,0.0,0.005,0.027,0.049,0.004,0.05,0.0,0.0,0.0,0.0,0.839,0.839,LUSC,0.9166,,0.8069,0.7,0.8973,
TCGA-O2-A52W-01A,0.002,0.001,0.006,0.0,0.0,0.0,0.018,0.033,0.001,0.015,0.013,0.0,0.0,0.014,0.009,0.888,0.888,LUSC,0.9287,,0.6446,0.65,0.7654,
TCGA-60-2708-01A,0.009,0.004,0.015,0.001,0.003,0.0,0.012,0.038,0.281,0.011,0.032,0.001,0.0,0.0,0.0,0.592,0.592,LUSC,0.7696,0.58,,0.7,0.7129,
TCGA-85-A513-01A,0.114,0.018,0.024,0.003,0.02,0.0,0.032,0.081,0.108,0.019,0.132,0.011,0.001,0.004,0.0,0.433,0.433,LUSC,0.5324,,0.538,0.6,0.4337,
TCGA-77-7465-01A,0.015,0.001,0.057,0.004,0.028,0.0,0.038,0.029,0.066,0.001,0.067,0.002,0.0,0.0,0.0,0.69,0.69,LUSC,0.7314,0.69,0.5317,0.7,0.6458,
TCGA-58-8393-01A,0.013,0.007,0.021,0.011,0.023,0.0,0.015,0.067,0.052,0.015,0.125,0.003,0.0,0.032,0.0,0.616,0.616,LUSC,0.6644,,0.5578,0.725,0.5349,
TCGA-77-A5G1-01A,0.012,0.009,0.026,0.0,0.003,0.0,0.014,0.07,0.09,0.006,0.096,0.003,0.0,0.007,0.002,0.661,0.661,LUSC,0.7583,,0.4874,0.6,0.6126,
TCGA-34-5232-01A,0.035,0.037,0.067,0.0,0.01,0.001,0.057,0.041,0.038,0.009,0.043,0.002,0.0,0.024,0.003,0.634,0.634,LUSC,0.7367,0.28,0.4285,0.8,0.4285,
TCGA-60-2709-01A,0.034,0.007,0.024,0.0,0.026,0.0,0.019,0.036,0.189,0.019,0.258,0.006,0.0,0.001,0.0,0.378,0.378,LUSC,0.4835,0.28,0.4804,0.6,0.4263,
TCGA-43-A56V-01A,0.019,0.002,0.009,0.0,0.004,0.0,0.005,0.03,0.044,0.013,0.026,0.001,0.0,0.015,0.005,0.826,0.826,LUSC,0.8997,,0.5871,0.8,0.8744,
TCGA-34-5928-01A,0.005,0.001,0.022,0.0,0.011,0.0,0.008,0.037,0.338,0.004,0.046,0.002,0.0,0.01,0.001,0.515,0.515,LUSC,0.6722,0.4,0.7074,0.8,0.5653,
TCGA-56-A4ZK-01A,0.013,0.007,0.012,0.002,0.021,0.0,0.022,0.031,0.047,0.002,0.09,0.006,0.0,0.025,0.0,0.721,0.721,LUSC,0.7712,,0.603,0.67,0.6573,
TCGA-39-5037-01A,0.0,0.0,0.005,0.0,0.002,0.0,0.012,0.015,0.012,0.004,0.006,0.001,0.0,0.0,0.005,0.938,0.938,LUSC,0.9909,0.48,0.7201,0.75,0.7058,
TCGA-77-8131-01A,0.026,0.013,0.026,0.016,0.02,0.0,0.025,0.084,0.089,0.016,0.187,0.005,0.0,0.024,0.004,0.465,0.465,LUSC,0.474,0.17,0.4246,0.6,0.3242,
TCGA-77-6842-01A,0.026,0.01,0.039,0.033,0.022,0.0,0.045,0.068,0.081,0.003,0.087,0.001,0.005,0.009,0.0,0.571,0.571,LUSC,0.6322,0.48,0.4886,0.775,0.511,
TCGA-96-7544-01A,0.023,0.003,0.02,0.0,0.004,0.001,0.018,0.053,0.156,0.018,0.076,0.006,0.0,0.018,0.004,0.599,0.599,LUSC,0.662,0.58,0.6058,0.5,0.6422,
TCGA-18-3415-01A,0.022,0.0,0.017,0.009,0.006,0.0,0.007,0.027,0.074,0.013,0.075,0.002,0.0,0.018,0.008,0.722,0.722,LUSC,0.7437,0.48,,0.85,0.6181,
