,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-V1-A9ZK-01A,0.001,0.0,0.005,0.0,0.002,0.0,0.843,0.011,0.04,0.041,0.041,0.015,0.0,0.0,0.0,0.0,PRAD,0.934,,,0.9,0.4987,
TCGA-EJ-5542-01A,0.009,0.001,0.01,0.001,0.001,0.0,0.8,0.012,0.041,0.08,0.032,0.012,0.001,0.0,0.0,0.0,PRAD,0.9101,,0.9358,0.825,0.8884,
TCGA-V1-A8WS-01A,0.0,0.0,0.004,0.0,0.003,0.0,0.921,0.004,0.011,0.024,0.03,0.003,0.0,0.0,0.0,0.0,PRAD,0.9726,,0.9808,0.7,0.9733,
TCGA-KK-A8IH-01A,0.013,0.01,0.009,0.0,0.001,0.0,0.855,0.01,0.021,0.032,0.03,0.017,0.001,0.0,0.0,0.0,PRAD,0.9326,,0.9001,0.6,0.9174,
TCGA-VP-A87B-01A,0.007,0.0,0.002,0.0,0.002,0.0,0.918,0.006,0.015,0.031,0.003,0.016,0.0,0.0,0.0,0.0,PRAD,0.9394,,1.0,0.95,0.9282,
TCGA-EJ-5494-01A,0.009,0.0,0.005,0.0,0.006,0.0,0.794,0.013,0.062,0.051,0.038,0.018,0.003,0.0,0.0,0.0,PRAD,0.9123,,0.9309,0.85,0.8914,
TCGA-EJ-5502-01A,0.008,0.001,0.013,0.0,0.005,0.001,0.718,0.013,0.065,0.097,0.046,0.025,0.002,0.003,0.001,0.002,PRAD,0.887,,0.8658,0.525,0.8571,
TCGA-KC-A7FD-01A,0.006,0.0,0.003,0.0,0.001,0.0,0.937,0.004,0.014,0.013,0.017,0.004,0.0,0.0,0.0,0.0,PRAD,0.9829,,1.0,0.7,0.9872,
TCGA-VN-A943-01A,0.0,0.0,0.0,0.0,0.002,0.0,0.97,0.002,0.007,0.0,0.017,0.0,0.0,0.0,0.0,0.0,PRAD,0.9975,,,0.77,0.5383,
TCGA-YL-A8SO-01B,0.007,0.0,0.003,0.0,0.001,0.0,0.85,0.006,0.026,0.059,0.031,0.016,0.0,0.0,0.0,0.0,PRAD,0.9242,,0.9199,0.6,0.9075,
TCGA-CH-5761-01A,0.0,0.0,0.003,0.0,0.002,0.0,0.83,0.004,0.04,0.041,0.061,0.017,0.001,0.0,0.0,0.0,PRAD,0.9164,,0.9085,0.825,0.8969,
TCGA-X4-A8KQ-01A,0.003,0.0,0.004,0.0,0.0,0.0,0.754,0.012,0.044,0.11,0.055,0.016,0.001,0.0,0.0,0.0,PRAD,0.883,,0.9244,0.6,0.8516,
TCGA-HC-7210-01A,0.01,0.0,0.006,0.0,0.006,0.0,0.684,0.013,0.078,0.104,0.064,0.034,0.001,0.0,0.0,0.0,PRAD,0.8424,,0.8194,0.6,0.8096,
TCGA-HC-A6AQ-01A,0.005,0.0,0.004,0.0,0.002,0.0,0.886,0.006,0.015,0.039,0.032,0.009,0.001,0.001,0.0,0.0,PRAD,0.954,,1.0,0.8,0.974,
TCGA-M7-A725-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.911,0.006,0.012,0.027,0.021,0.016,0.0,0.0,0.0,0.0,PRAD,0.9658,,0.9757,0.8,0.964,
TCGA-ZG-A9LU-01A,0.0,0.0,0.005,0.003,0.001,0.0,0.84,0.023,0.016,0.037,0.046,0.026,0.0,0.002,0.0,0.0,PRAD,0.9117,,,0.7,0.8945,
TCGA-KK-A6E7-01A,0.0,0.0,0.002,0.0,0.001,0.0,0.907,0.001,0.023,0.013,0.031,0.021,0.001,0.0,0.0,0.0,PRAD,0.9629,,0.9663,0.6,0.9601,
TCGA-KK-A8IJ-01A,0.005,0.0,0.003,0.0,0.001,0.0,0.871,0.005,0.052,0.008,0.039,0.014,0.002,0.0,0.0,0.0,PRAD,0.9597,,0.917,0.9,0.9372,
TCGA-EJ-7331-01A,0.007,0.001,0.008,0.0,0.003,0.0,0.741,0.011,0.066,0.084,0.054,0.017,0.005,0.0,0.0,0.0,PRAD,0.8681,,0.8932,0.675,0.8314,
TCGA-EJ-7783-01A,0.007,0.003,0.008,0.0,0.006,0.0,0.758,0.01,0.074,0.063,0.055,0.01,0.005,0.0,0.0,0.0,PRAD,0.9201,,0.9189,0.425,0.9207,
TCGA-J4-A67S-01A,0.013,0.0,0.007,0.001,0.004,0.0,0.876,0.01,0.02,0.017,0.039,0.013,0.001,0.0,0.0,0.0,PRAD,0.9423,,0.9629,0.7,0.9322,
TCGA-V1-A9OL-01A,0.001,0.0,0.006,0.003,0.007,0.0,0.834,0.013,0.033,0.04,0.042,0.02,0.001,0.0,0.0,0.0,PRAD,0.9084,,,0.7,0.4813,
TCGA-HC-7745-01A,0.011,0.0,0.008,0.0,0.009,0.0,0.681,0.023,0.063,0.129,0.054,0.019,0.002,0.001,0.0,0.0,PRAD,0.8336,,0.9253,0.7,0.8658,
TCGA-MG-AAMC-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.955,0.003,0.006,0.004,0.023,0.007,0.0,0.0,0.0,0.0,PRAD,0.9759,,,0.6,0.5271,
TCGA-G9-6348-01A,0.003,0.0,0.005,0.0,0.007,0.0,0.764,0.012,0.071,0.074,0.048,0.014,0.001,0.0,0.0,0.0,PRAD,0.8832,,0.923,0.8,0.8981,
TCGA-G9-6338-01A,0.007,0.0,0.003,0.0,0.003,0.0,0.728,0.005,0.035,0.035,0.162,0.017,0.001,0.004,0.0,0.0,PRAD,0.9109,,0.9893,0.7,0.9447,
TCGA-EJ-7791-01A,0.008,0.0,0.009,0.0,0.004,0.0,0.686,0.01,0.077,0.132,0.052,0.018,0.005,0.0,0.0,0.0,PRAD,0.8635,,0.8997,0.9,0.836,
TCGA-M7-A71Y-01A,0.003,0.0,0.006,0.0,0.002,0.0,0.809,0.011,0.017,0.102,0.037,0.01,0.001,0.0,0.0,0.0,PRAD,0.9374,,0.9517,0.6,0.9255,
TCGA-XQ-A8TB-01A,0.005,0.0,0.004,0.002,0.002,0.0,0.772,0.006,0.032,0.103,0.061,0.012,0.001,0.0,0.0,0.0,PRAD,0.9055,,0.9506,0.6,0.8821,
TCGA-HC-7740-01A,0.006,0.0,0.006,0.0,0.006,0.0,0.728,0.01,0.071,0.085,0.067,0.017,0.003,0.0,0.0,0.0,PRAD,0.888,,0.9566,,0.8584,
TCGA-VN-A88P-01A,0.012,0.0,0.005,0.0,0.004,0.0,0.786,0.005,0.045,0.074,0.056,0.009,0.003,0.0,0.0,0.0,PRAD,0.9091,,0.9365,0.85,0.887,
TCGA-EJ-A65J-01A,0.0,0.0,0.005,0.001,0.0,0.0,0.89,0.006,0.017,0.031,0.024,0.026,0.001,0.0,0.0,0.0,PRAD,0.9301,,0.9743,0.8,0.9156,
TCGA-EJ-8474-01A,0.009,0.0,0.004,0.0,0.0,0.0,0.815,0.009,0.036,0.063,0.048,0.014,0.001,0.0,0.0,0.0,PRAD,0.9175,,0.9879,0.725,0.9493,
TCGA-KK-A8IF-01A,0.001,0.001,0.001,0.0,0.0,0.0,0.96,0.003,0.009,0.013,0.005,0.006,0.0,0.0,0.0,0.0,PRAD,0.9632,,1.0,0.85,0.9606,
TCGA-G9-6339-01A,0.002,0.0,0.005,0.0,0.004,0.0,0.896,0.008,0.013,0.029,0.035,0.006,0.0,0.0,0.0,0.0,PRAD,0.9563,,0.9621,0.6,0.9707,
TCGA-HC-7081-01A,0.003,0.0,0.006,0.0,0.003,0.0,0.606,0.015,0.098,0.148,0.067,0.051,0.002,0.0,0.0,0.0,PRAD,0.7666,,0.892,0.6,0.8007,
TCGA-XJ-A9DX-01A,0.0,0.0,0.001,0.0,0.002,0.0,0.894,0.006,0.032,0.012,0.038,0.013,0.0,0.0,0.0,0.0,PRAD,0.9443,,0.9906,0.9,0.9348,
TCGA-YL-A8SQ-01B,0.004,0.006,0.004,0.001,0.004,0.0,0.781,0.009,0.061,0.07,0.045,0.012,0.003,0.0,0.0,0.0,PRAD,0.9166,,0.9644,0.7,0.9253,
TCGA-V1-A8X3-01A,0.01,0.0,0.006,0.0,0.002,0.0,0.763,0.009,0.025,0.127,0.045,0.01,0.002,0.0,0.0,0.0,PRAD,0.9293,,0.9158,0.75,0.9145,
TCGA-J4-A83N-01A,0.008,0.0,0.004,0.0,0.0,0.0,0.896,0.006,0.014,0.027,0.036,0.008,0.0,0.0,0.0,0.0,PRAD,0.9668,,0.9859,0.9,0.9654,
TCGA-XA-A8JR-01A,0.008,0.0,0.005,0.0,0.0,0.0,0.827,0.005,0.01,0.062,0.068,0.012,0.003,0.0,0.0,0.0,PRAD,0.9325,,0.8771,0.6,0.8903,
TCGA-EJ-7315-01A,0.014,0.019,0.022,0.001,0.008,0.0,0.689,0.017,0.053,0.1,0.045,0.031,0.001,0.0,0.0,0.0,PRAD,0.7851,,0.8118,0.75,0.7661,
TCGA-M7-A724-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.01,0.0,0.018,0.001,0.0,0.0,0.0,0.0,PRAD,0.9937,,1.0,0.9,1.0,
TCGA-EJ-A65M-01A,0.01,0.0,0.005,0.001,0.003,0.0,0.86,0.011,0.014,0.042,0.031,0.021,0.001,0.0,0.0,0.0,PRAD,0.9161,,0.9633,0.65,0.8966,
TCGA-G9-7519-01A,0.007,0.0,0.003,0.0,0.0,0.0,0.818,0.005,0.012,0.057,0.08,0.016,0.001,0.0,0.0,0.0,PRAD,0.9374,,0.9151,0.8,0.9303,
TCGA-EJ-A7NH-01A,0.011,0.0,0.004,0.0,0.003,0.0,0.788,0.008,0.05,0.074,0.048,0.01,0.003,0.0,0.0,0.0,PRAD,0.9407,,0.9715,0.75,0.93,
TCGA-J4-A83I-01A,0.01,0.001,0.011,0.005,0.001,0.0,0.827,0.012,0.02,0.059,0.041,0.014,0.001,0.0,0.0,0.0,PRAD,0.9165,,0.9134,0.7,0.8972,
TCGA-EJ-A6RA-01A,0.009,0.0,0.005,0.0,0.003,0.0,0.842,0.009,0.036,0.037,0.042,0.013,0.001,0.001,0.0,0.0,PRAD,0.9445,,0.9747,0.8,0.9351,
TCGA-HC-8257-01A,0.008,0.0,0.005,0.0,0.01,0.0,0.868,0.006,0.024,0.05,0.02,0.008,0.001,0.0,0.0,0.0,PRAD,0.9313,,1.0,0.8,0.9172,
TCGA-VP-A87C-01A,0.011,0.038,0.045,0.002,0.04,0.002,0.488,0.059,0.081,0.14,0.034,0.056,0.003,0.001,0.001,0.0,PRAD,0.6393,,0.6542,0.65,0.6284,
TCGA-CH-5744-01A,0.006,0.0,0.005,0.0,0.002,0.0,0.844,0.01,0.047,0.02,0.046,0.019,0.001,0.0,0.0,0.0,PRAD,0.9405,,0.8929,0.675,0.909,
