,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-ET-A3BV-01A,0.0,0.0,0.031,0.0,0.0,0.0,0.483,0.073,0.04,0.326,0.0,0.036,0.009,0.0,0.001,0.0,THCA,0.7483,,0.7253,0.7,0.7019,
TCGA-EL-A3ZL-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.636,0.004,0.164,0.053,0.081,0.055,0.0,0.0,0.001,0.0,THCA,0.8665,,0.9718,0.6,0.97,
TCGA-CE-A13K-01A,0.006,0.0,0.005,0.005,0.002,0.0,0.577,0.008,0.229,0.01,0.084,0.066,0.002,0.0,0.005,0.0,THCA,0.8756,,0.922,0.85,0.9431,
TCGA-DJ-A3UQ-01A,0.0,0.0,0.018,0.0,0.0,0.0,0.566,0.058,0.075,0.222,0.001,0.056,0.0,0.0,0.002,0.0,THCA,0.7612,,0.829,0.85,0.8339,
TCGA-BJ-A45H-01A,0.008,0.0,0.005,0.006,0.0,0.0,0.665,0.006,0.133,0.069,0.022,0.082,0.001,0.0,0.002,0.0,THCA,0.842,,0.9341,0.8,0.9573,
TCGA-L6-A4EU-01A,0.001,0.0,0.007,0.002,0.0,0.0,0.702,0.039,0.056,0.109,0.002,0.08,0.0,0.0,0.003,0.0,THCA,0.8016,,0.8826,0.95,0.8968,
TCGA-DJ-A3VM-01A,0.02,0.001,0.001,0.001,0.0,0.0,0.678,0.0,0.186,0.002,0.07,0.039,0.0,0.0,0.002,0.0,THCA,0.938,,0.9513,0.97,0.9264,
TCGA-H2-A3RH-01A,0.008,0.0,0.001,0.005,0.0,0.0,0.737,0.0,0.121,0.018,0.046,0.06,0.001,0.0,0.004,0.0,THCA,0.9261,,0.9532,1.0,0.9101,
TCGA-EL-A3ZR-01A,0.03,0.0,0.0,0.004,0.001,0.0,0.742,0.001,0.143,0.002,0.059,0.015,0.0,0.0,0.002,0.0,THCA,0.9529,,1.0,0.95,0.9465,
TCGA-BJ-A291-01A,0.024,0.0,0.0,0.0,0.007,0.0,0.606,0.001,0.264,0.005,0.075,0.017,0.0,0.0,0.001,0.0,THCA,0.919,,0.9186,0.92,0.9253,
TCGA-MK-A4N9-01A,0.0,0.0,0.003,0.008,0.0,0.0,0.751,0.003,0.139,0.037,0.02,0.036,0.0,0.0,0.002,0.0,THCA,0.9197,,0.926,0.8,0.9015,
TCGA-EL-A3MZ-01A,0.0,0.0,0.004,0.003,0.0,0.0,0.687,0.006,0.105,0.13,0.004,0.057,0.0,0.0,0.002,0.0,THCA,0.8256,,0.8721,1.0,0.8845,
TCGA-EM-A2CP-01A,0.134,0.009,0.031,0.022,0.024,0.0,0.293,0.014,0.167,0.021,0.042,0.238,0.001,0.002,0.002,0.0,THCA,0.6239,,0.5451,0.85,0.5002,
TCGA-DJ-A2PZ-01A,0.0,0.002,0.006,0.0,0.0,0.0,0.683,0.018,0.094,0.086,0.01,0.097,0.0,0.0,0.002,0.0,THCA,0.852,,0.913,0.65,0.836,
TCGA-EL-A3ZG-01A,0.0,0.0,0.001,0.006,0.0,0.0,0.739,0.001,0.141,0.001,0.079,0.03,0.0,0.0,0.002,0.0,THCA,0.9239,,0.9622,1.0,0.9071,
TCGA-FE-A3PC-01A,0.007,0.0,0.001,0.004,0.0,0.0,0.698,0.0,0.102,0.006,0.071,0.109,0.0,0.0,0.001,0.0,THCA,0.8679,,0.9751,1.0,0.8312,
TCGA-BJ-A0YZ-01A,0.022,0.0,0.002,0.0,0.0,0.0,0.574,0.0,0.178,0.035,0.151,0.035,0.0,0.002,0.001,0.0,THCA,0.9108,,0.8414,0.965,0.8485,
TCGA-DJ-A13M-01A,0.021,0.0,0.001,0.009,0.0,0.0,0.785,0.001,0.109,0.001,0.039,0.032,0.0,0.0,0.002,0.0,THCA,0.9542,,0.9311,0.95,0.9538,
TCGA-EM-A3OA-01A,0.058,0.0,0.001,0.0,0.003,0.0,0.774,0.0,0.13,0.001,0.024,0.007,0.0,0.0,0.002,0.0,THCA,0.9672,,0.9581,1.0,0.966,
TCGA-J8-A3YE-01A,0.001,0.0,0.0,0.007,0.0,0.0,0.885,0.0,0.06,0.002,0.014,0.029,0.0,0.0,0.001,0.0,THCA,0.965,,1.0,1.0,0.97,
